Facility Name_x	County Name_x	City_x	State_x	ICU Beds	Total Beds	Total Employees	Hospital Type	Street Address 1	Mortality national comparison	Phone Number	Urban or Rural Designation	TIN		Facility Name	Number to Call (NTC)	Donation Phone Number	Donation Email	Type (donation)	Notes
Seton Medical Center	San Mateo County, CA	Daly City	CA	28	434	794	Acute Care Hospitals	1900 Sullivan Ave	Above the national average	(650) 992-4000	Urban	912154441	110	Seton Medical Center	(650) 992-4000		tinaahn@verity.org	donations	
Sutter Santa Rosa Regional Hospital	Sonoma County, CA	Santa Rosa	CA	12	84	701	Acute Care Hospitals	30 Mark West Springs Rd	Same as the national average	(707) 576-4000	Urban	940562680	111	Sutter Santa Rosa Regional Hospital	(707) 576-4000		website: sutterhealth.org/ways-to-give/philanthropy/give-now	website for donations	website for donations
Highland Hospital	Alameda County, CA	Oakland	CA	32	372	2146	Acute Care Hospitals	1411 E 31st St	Same as the national average	(510) 437-4800	Urban	943302014	112	Highland Hospital	(510) 437-4800		ahsf.admin@alamedahealthsystem.org	donations	
San Mateo Medical Center	San Mateo County, CA	San Mateo	CA	7	508	670	Acute Care Hospitals	222 W 39th Ave	Not Available	(650) 573-2222	Urban	946000532	113	San Mateo Medical Center	(650) 573-2222		website: smchf.org		
Kaiser Permanente South San Francisco Medical Center	San Mateo County, CA	South San Francisco	CA	15	120	518	Acute Care Hospitals	1200 El Camino Real	Not Available	(650) 742-3200	Urban	941105628	114	Kaiser Permanente South San Francisco Medical Center	(650) 742-3200				left a message
Walnut Creek Medical Center	Contra Costa County, CA	Walnut Creek	CA	24	233	1315	Acute Care Hospitals	1425 S Main St	Not Available	(925) 295-4000	Urban	941105628	115	Walnut Creek Medical Center	(925) 295-4000		kpcovid-19donations@kp.org	donations	
Oakland Medical Center	Alameda County, CA	Oakland	CA	50	365	2368	Acute Care Hospitals	280 W Macarthur Blvd	Same as the national average	(510) 752-1000	Urban	941105628	116	Oakland Medical Center	(510) 752-1000	5105453446		donations	They said that they accept curbside donations
Highland Hospital	Monroe County, NY	Rochester	NY	14	235	2668	Acute Care Hospitals	1000 South Ave	Same as the national average	(585) 341-6736	Rural	160743037	117	Highland Hospital	(585) 341-6736				going to call me back
Rochester General Hospital	Monroe County, NY	Rochester	NY	16	516	5839	Acute Care Hospitals	1425 Portland Ave	Above the national average	(585) 922-4000	Rural	160743134	118	Rochester General Hospital	(585) 922-4000				left a message
Unity Hospital	Monroe County, NY	Rochester	NY	14	468	3502	Acute Care Hospitals	100 Kings Hwy S	Same as the national average	(585) 723-7000	Urban	237221763	119	Unity Hospital	(585) 723-7000	5859224800	rrhfoundation@rochesterregional.org	donations	
Strong Memorial Hospital	Monroe County, NY	Rochester	NY	142	852	11091	Acute Care Hospitals	601 Elmwood Ave	Same as the national average	(585) 275-2121	Rural	160743209	120	Strong Memorial Hospital	(585) 275-2121				left a message. they might email me back
MultiCare Valley Hospital	Spokane County, WA	Spokane Valley	WA	10	123	594	Acute Care Hospitals	12606 E Mission Ave	Same as the national average	(509) 924-6650	Urban	911352172	121	MultiCare Valley Hospital	(509) 924-6650				said they could not supply an email or #. they would only take a name and # of the people making the donation
Providence Centralia Hospital	Lewis County, WA	Centralia	WA	6	116	625	Acute Care Hospitals	914 S Scheuber Rd	Same as the national average	(360) 736-2803	Rural	910573108	122	Providence Centralia Hospital	(360) 736-2803		patrick.hinthorn@providence.org	donation	he will tell us who to contact once he has more info regarding the donation
Providence Saint Peter Hospital	Thurston County, WA	Olympia	WA	42	322	2152	Acute Care Hospitals	413 Lilly Rd Ne	Below the national average	(360) 491-9480	Urban	910567732	123	Providence Saint Peter Hospital	(360) 491-9480				will call me back
Virginia Mason Memorial	Yakima County, WA	Yakima	WA	38	226	2512	Acute Care Hospitals	2811 Tieton Dr	Below the national average	(509) 575-8000	Urban	910567263	124	Virginia Mason Memorial	(509) 575-8000	5095765794		donation	they transfered me to this number and i left a message
MultiCare Deaconess Hospital	Spokane County, WA	Spokane	WA	35	267	1324	Acute Care Hospitals	800 W 5th Ave	Same as the national average	(509) 473-5800	Urban	911352172	125	MultiCare Deaconess Hospital	(509) 473-5800	5094737120		donation	she will help them reach who they need to reach
Providence Sacred Heart Medical Center and Children's Hospital	Spokane County, WA	Spokane	WA	20	632	3515	Acute Care Hospitals	101 W 8th Ave	Below the national average	(509) 474-3040	Urban	364640211	126	Providence Sacred Heart Medical Center and Children's Hospital	(509) 474-3040		darrell.ruby@providence.org	unsure	
Marian Regional Medical Center	Santa Barbara County, CA	Santa Maria	CA	28	388	1691	Acute Care Hospitals	1400 E Church St	Below the national average	(805) 739-3100	Urban	941196203	127	Marian Regional Medical Center	(805) 739-3100		jeremy.riley@dignityhealth.org	donations	
Palomar Medical Center Escondido	San Diego County, CA	Escondido	CA	48	329	2258	Acute Care Hospitals	2185 Citracado Pkwy	Same as the national average	(760) 739-3000	Urban	956003843	128	Palomar Medical Center Escondido	(760) 739-3000				call me back
Tri-City Medical Center	San Diego County, CA	Oceanside	CA	28	305	1739	Acute Care Hospitals	4002 Vista Way	Same as the national average	(760) 724-8411	Urban	952126937	129	Tri-City Medical Center	(760) 724-8411	7609403370		donation	
Saint Bernardine Medical Center	San Bernardino County, CA	San Bernardino	CA	47	328	1367	Acute Care Hospitals	2101 N Waterman Ave	Same as the national average	(909) 883-8711	Rural	941196203	130	Saint Bernardine Medical Center	(909) 883-8711				left voice mail for pete
Fontana Medical Center	San Bernardino County, CA	Fontana	CA	116	626	2850	Acute Care Hospitals	9961 Sierra Ave	Same as the national average	(909) 427-5500	Urban	941105628	131	Fontana Medical Center	(909) 427-5500		buytopay@kp.org	donation	
Scripps Mercy Hospital San Diego	San Diego County, CA	San Diego	CA	56	523	3141	Acute Care Hospitals	4077 5th Ave	Above the national average	(619) 294-8111	Rural	951684089	132	Scripps Mercy Hospital San Diego	(619) 294-8111		supplychainmanagement@scrippshealth.org		got this from their website. no one could give me an email
Saint Francis Memorial Hospital	San Francisco County, CA	San Francisco	CA	18	211	675	Acute Care Hospitals	900 Hyde St	Same as the national average	(415) 353-6000	Urban	941156295	133	Saint Francis Memorial Hospital	(415) 353-6000				call me back
Kaiser Permanente San Francisco Medical Center	San Francisco County, CA	San Francisco	CA	54	239	1366	Acute Care Hospitals	2425 Geary Blvd	Not Available	(415) 833-2646	Rural	941105628	134	Kaiser Permanente San Francisco Medical Center	(415) 833-2646	4158333077			call me back
CPMC Davies Campus	San Francisco County, CA	San Francisco	CA	8	223	503	Acute Care Hospitals	45 Castro St	Same as the national average	(415) 600-6000	Urban	940562680	135	CPMC Davies Campus	(415) 600-6000	4158500066and4156006137		2 numbers	Less than 100 boxes:
Vallejo Hospital & Medical Offices	Solano County, CA	Vallejo	CA	40	248	970	Acute Care Hospitals	975 Sereno Dr	Same as the national average	(707) 651-1000	Urban	941105628	136	Vallejo Hospital & Medical Offices	(707) 651-1000		kpcovid-19donations@kp.org	donations	
CPMC Mission Bernal Campus	San Francisco County, CA	San Francisco	CA	10	120	438	Acute Care Hospitals	3555 Cesar Chavez Street	Same as the national average	(415) 641-6562	Urban	940562680	137	CPMC Mission Bernal Campus	(415) 641-6562	4156413429		donations	Jill Bullock
Kaweah Delta Health Care District	Tulare County, CA	Visalia	CA	41	581	3635	Acute Care Hospitals	400 W Mineral King Ave	Same as the national average	(559) 624-2000	Urban	941534475	138	Kaweah Delta Health Care District	(559) 624-2000	5596242359		donations	
Community Regional Medical Center	Fresno County, CA	Fresno	CA	78	887	6542	Acute Care Hospitals	2823 Fresno St	Below the national average	(559) 459-6000	Urban	941156276	139	Community Regional Medical Center	(559) 459-6000				said they could not supply an email or #. they would only take a name and # of the people making the donation
Zuckerberg San Francisco General Hospital and Trauma Center	San Francisco County, CA	San Francisco	CA	58	397	3002	Acute Care Hospitals	1001 Potrero Ave	Same as the national average	(415) 206-8000	Urban	946000417	140	Zuckerberg San Francisco General Hospital and Trauma Center	(628) 206-8000	6282063371		donations	
Valley Children's Healthcare	Madera County, CA	Madera	CA	42	358	2400	Childrens	9300 Valley Childrens Pl	Not Available	(559) 353-5116	Urban	941294954	141	Valley Children's Healthcare	(559) 353-3000	 	covid19supplies@valleychildrens.org	donations	
Rady Children's Hospital - San Diego	San Diego County, CA	San Diego	CA	54	425	3528	Childrens	3020 Childrens Way	Not Available	(858) 576-1700	Urban	951691313	142	Rady Children's Hospital - San Diego	(858) 576-1700				they want a written letter or fax
Children's Hospital of Orange County	Orange County, CA	Orange	CA	24	334	2904	Childrens	455 S Main St	Not Available	(714) 997-3000	Urban	952321786	143	Children's Hospital of Orange County	(714) 997-3000				no one answers
West Anaheim Medical Center	Orange County, CA	Anaheim	CA	20	219	607	Acute Care Hospitals	3033 W Orange Ave	Same as the national average	(714) 827-3000	Urban	205245674	144	West Anaheim Medical Center	(714) 827-3000				left message
Mercy Medical Center	Merced County, CA	Merced	CA	20	186	1117	Acute Care Hospitals	333 Mercy Ave	Same as the national average	(209) 564-5000	Urban	941196203	145	Mercy Medical Center	(209) 564-5000	2095644204		donation	
UCSF Medical Center at Parnassus	San Francisco County, CA	San Francisco	CA	106	785	8401	Acute Care Hospitals	505 Parnassus Ave	Above the national average	(415) 353-2733	Rural	943281657	146	UCSF Medical Center at Parnassus	(415) 353-2733				not given any phone # or email
Saint Mary's Medical Center	San Francisco County, CA	San Francisco	CA	19	159	735	Acute Care Hospitals	450 Stanyan St	Same as the national average	(415) 668-1000	Urban	941196203	147	Saint Mary's Medical Center	(415) 668-1000	4155165184		donation	phone # is for dropoffs
Doctors Medical Center of Modesto	Stanislaus County, CA	Modesto	CA	22	447	1770	Acute Care Hospitals	1441 Florida Ave	Below the national average	(209) 578-1211	Urban	752918774	148	Doctors Medical Center of Modesto	(209) 578-1211	2095763961		donation	phone # is for Tanya's (inventory director), left a message; will call me back
Scripps Memorial Hospital Encinitas	San Diego County, CA	Encinitas	CA	12	193	1222	Acute Care Hospitals	354 Santa Fe Dr	Same as the national average	(760) 753-6501	Urban	951684089	149	Scripps Memorial Hospital Encinitas	(760) 753-6501				no one picked up
San Rafael Medical Center	Marin County, CA	San Rafael	CA	12	116	492	Acute Care Hospitals	99 Montecillo Rd	Not Available	(415) 444-2000	Urban	941105628	150	San Rafael Medical Center	(415) 444-2000				will call back
Kaiser Permanente Zion Medical Center	San Diego County, CA	San Diego	CA	32	536	2532	Acute Care Hospitals	9455 Clairemont Mesa Blvd	Not Available	(619) 528-5000	Rural	941105628	151	Kaiser Permanente Zion Medical Center	(619) 528-5000	6194050407		donation	phone # for Debbie Smith (handles donations)
Fountain Valley Regional  Hospital and Medical Center	Orange County, CA	Fountain Valley	CA	36	400	1220	Acute Care Hospitals	17100 Euclid St	Above the national average	(714) 966-7200	Urban	952768729	152	Fountain Valley Regional Hospital and Medical Center	(714) 966-7200	7149668180		donation	phone # is for Jim Lamon
Chino Valley Medical Center	San Bernardino County, CA	Chino	CA	14	112	460	Acute Care Hospitals	5451 Walnut Ave	Same as the national average	(909) 627-6111	Urban	330928285	153	Chino Valley Medical Center	(909) 627-6111				left a message
Saddleback Medical Center	Orange County, CA	Laguna Hills	CA	22	248	1271	Acute Care Hospitals	24451 Health Center Dr	Same as the national average	(949) 837-4500	Urban	952585792	154	Saddleback Medical Center	(949) 837-4500		smcs@memorialcare.org	donation	automated service said to email this regarding anything
Scripps Green Hospital	San Diego County, CA	La Jolla	CA	50	150	1032	Acute Care Hospitals	10666 N Torrey Pines Rd	Same as the national average	(858) 455-9100	Rural	951684089	155	Scripps Green Hospital	(858) 455-9100	8586222800		donation	email address incomplete: shp2pdistribution
Arrowhead Regional Medical Center	San Bernardino County, CA	Colton	CA	32	456	2959	Acute Care Hospitals	400 N Pepper Ave	Same as the national average	(909) 580-1000	Urban	956002748	156	Arrowhead Regional Medical Center	(909) 580-1000	9095806340		donation	
Natividad Medical Center	Monterey County, CA	Salinas	CA	25	172	1198	Acute Care Hospitals	1441 Constitution Blvd	Same as the national average	(831) 755-4195	Urban	946000524	157	Natividad Medical Center	(831) 755-4195				left a message, expecting a call back
Mercy Medical Center Redding	Shasta County, CA	Redding	CA	44	262	1394	Acute Care Hospitals	2175 Rosaline Ave	Below the national average	(530) 225-6102	Urban	941196203	158	Mercy Medical Center Redding	(530) 225-6102	5302473424	 dianne.Moty@dignityhealth.org	donation	phone # for Dianne Moty is 530-638-6103, form on website
Santa Barbara Cottage Hospital	Santa Barbara County, CA	Santa Barbara	CA	20	363	2442	Acute Care Hospitals	400 West Pueblo	Same as the national average	(805) 682-7111	Rural	951644629	159	Santa Barbara Cottage Hospital	(805) 682-7111				left a message, expecting a call back
Kern Medical Center	Kern County, CA	Bakersfield	CA	12	222	1738	Acute Care Hospitals	1700 Mount Vernon Avenue	Not Available	(661) 326-2000	Urban	475618278	160	Kern Medical Center	(661) 326-2000				left a message, expecting a call back
Loma Linda University Medical Center	San Bernardino County, CA	Loma Linda	CA	41	524	4990	Acute Care Hospitals	11234 Anderson St	Same as the national average	(909) 558-4000	Urban	953522679	161	Loma Linda University Medical Center	(909) 558-4000	9092388590		donation	phone # is for Lori Scott (executive director for respitory care)
UCI Health	Orange County, CA	Orange	CA	50	414	4398	Acute Care Hospitals	101 The City Dr S	Same as the national average	(714) 456-6112	Rural	952226406	162	UCI Health	(714) 456-6112	7149043589		donation	phone # is for molly cook, there is a form on their website
Anaheim Medical Center	Orange County, CA	Anaheim	CA	86	484	2168	Acute Care Hospitals	3440 E. La Palma Ave	Not Available	(714) 279-4000	Rural	941105628	163	Anaheim Medical Center	(714) 279-4000				NTC not in service
Fresno Medical Center	Fresno County, CA	Fresno	CA	12	169	749	Acute Care Hospitals	7300 N Fresno St	Not Available	(559) 448-4500	Urban	941105628	164	Fresno Medical Center	(559) 448-4500	5594483949		donation	phone # is for Keith Hodge (cell # is 5592405014)
Orange County Global Medical Center	Orange County, CA	Santa Ana	CA	42	228	930	Acute Care Hospitals	1001 N Tustin Ave	Same as the national average	(714) 953-3610	Urban	550883862	165	Orange County Global Medical Center	(714) 953-3610				left a message, expecting a call back
Montclair Hospital Medical Center	San Bernardino County, CA	Montclair	CA	8	106	291	Acute Care Hospitals	5000 San Bernardino St	Not Available	(909) 625-8300	Urban	202898771	166	Montclair Hospital Medical Center	(909) 625-8300				NTC not in service
Vacaville Medical Center	Solano County, CA	Vacaville	CA	16	140	688	Acute Care Hospitals	1 Quality Dr	Not Available	(707) 624-4000	Urban	941105628	167	Vacaville Medical Center	(707) 624-4000		nicholas.e.kerr@kp.org	donation	
HealthAlliance - Broadway Campus	Ulster County, NY	Kingston	NY	20	149	890	Acute Care Hospitals	396 Broadway	Same as the national average	(914) 331-3131	Urban	141349558	168	HealthAlliance - Broadway Campus	(914) 331-3131				asks to enter account #
Buffalo General Medical Center	Erie County, NY	Buffalo	NY	70	1068	7147	Acute Care Hospitals	818 Ellicott St	Below the national average	(716) 859-8620	Urban	161533232	169	Buffalo General Medical Center	(716) 859-8620				asks to enter account #
Our Lady of Lourdes Memorial Hospital	Broome County, NY	Binghamton	NY	10	161	2052	Acute Care Hospitals	169 Riverside Dr	Same as the national average	(607) 798-5111	Rural	150532221	170	Our Lady of Lourdes Memorial Hospital	(607) 798-5111	6077985684			phone # for Our Lourdes group; left a message
Albany Medical Center	Albany County, NY	Albany	NY	85	793	5037	Acute Care Hospitals	43 New Scotland Ave	Same as the national average	(518) 262-2400	Rural	141338307	171	Albany Medical Center	(518) 262-2400				left a message
Samaritan Medical Center	Jefferson County, NY	Watertown	NY	10	286	1371	Acute Care Hospitals	830 Washington St	Same as the national average	(315) 785-4121	Rural	150533577	172	Samaritan Medical Center	(315) 785-4121				no one picked up
Upstate University Hospital - Community Campus	Onondaga County, NY	Syracuse	NY	20	306	875	NA	4900 Broad Rd	NA	NA	Urban	150622506	173	Upstate University Hospital - Community Campus	(315) 492-5011	3159569269	brucek@upstate.edu	donation	phone # for Christen Bruce (office: 3154925060)
Eastern Niagara Hospital-Lockport	Niagara County, NY	Lockport	NY	8	135	520	Acute Care Hospitals	521 East Ave	Below the national average	(716) 514-5700	Urban	161137084	174	Eastern Niagara Hospital-Lockport	(716) 514-5700				left a message
Montefiore New Rochelle Hospital	Westchester County, NY	New Rochelle	NY	12	301	998	Acute Care Hospitals	16 Guion Pl	Same as the national average	(914) 632-5000	Rural	462931956	175	Montefiore New Rochelle Hospital	(914) 632-5000				call back tomorrow
Crouse Hospital	Onondaga County, NY	Syracuse	NY	29	502	2322	Acute Care Hospitals	736 Irving Ave	Same as the national average	(315) 470-7449	Urban	160960470	176	Crouse Hospital	(315) 470-7449				NTC not in service
Saint John's Riverside Hospital - Andrus Pavilion	Westchester County, NY	Yonkers	NY	16	321	1632	Acute Care Hospitals	967 N Broadway	Above the national average	(914) 964-4444	Rural	131740126	177	Saint John's Riverside Hospital - Andrus Pavilion	(914) 964-4444	9147988990		donation	phone # for public relations office
Erie County Medical Center	Erie County, NY	Buffalo	NY	30	906	2593	Acute Care Hospitals	462 Grider St	Same as the national average	(716) 898-3936	Urban	830382654	178	Erie County Medical Center	(716) 898-3936	7168169503	lisag@ecmc.edu	donation	"put something comprehensive together and we'll take a look at it"
HealthAlliance Hospital Mary's Avenue Campus	Ulster County, NY	Kingston	NY	5	105	322	Acute Care Hospitals	105 Marys Ave	Not Available	(845) 338-2500	Urban	141338470	179	HealthAlliance Hospital Mary's Avenue Campus	(845) 338-2500				left a message
Westchester Medical Center	Westchester County, NY	Valhalla	NY	84	885	3605	Acute Care Hospitals	100 Woods Rd	Same as the national average	(914) 493-7000	Urban	133964321	180	Westchester Medical Center	(914) 493-7000				left a message
Upstate University Hospital	Onondaga County, NY	Syracuse	NY	80	735	5591	Acute Care Hospitals	750 E Adams St	Same as the national average	(315) 473-4240	Urban	161469571	181	Upstate University Hospital	(315) 473-4240				NTC not in service
Ellis Hospital	Schenectady County, NY	Schenectady	NY	36	416	2794	Acute Care Hospitals	1101 Nott St	Below the national average	(518) 243-4000	Urban	141338428	182	Ellis Hospital	(518) 243-4000				left a message for Paul Segovis
Niagara Falls Memorial Medical Center	Niagara County, NY	Niagara Falls	NY	12	133	926	Acute Care Hospitals	621 10th St	Same as the national average	(716) 278-4000	Urban	160743094	183	Niagara Falls Memorial Medical Center	(716) 278-4000	7162784300		donation	phone # will transfer somewhere else
United Memorial Medical Center	Genesee County, NY	Batavia	NY	10	133	745	Acute Care Hospitals	127 North St	Same as the national average	(585) 343-6030	Urban	160743029	184	United Memorial Medical Center	(585) 343-6030				
Sisters of Charity Hospital	Erie County, NY	Buffalo	NY	30	466	2059	Acute Care Hospitals	2157 Main St	Same as the national average	(716) 862-1000	Urban	160743187	185	Sisters of Charity Hospital	(716) 862-1000				left a message
Saint Joseph's Hospital Health Center	Onondaga County, NY	Syracuse	NY	24	435	3107	Acute Care Hospitals	301 Prospect Ave	Same as the national average	(315) 448-5111	Urban	150532254	186	Saint Joseph's Hospital Health Center	(315) 448-5111				left a message
Orange Regional Medical Center	Orange County, NY	Middletown	NY	40	383	2351	Acute Care Hospitals	707 East Main Street	Above the national average	(845) 343-2424	Urban	141364536	187	Orange Regional Medical Center	(845) 343-2424	845-333-2399	jrafferty@ghvhs.org	donation	asked about quantity availible for donation
Bassett Medical Center	Otsego County, NY	Cooperstown	NY	34	180	3322	Acute Care Hospitals	1 Atwell Rd	Same as the national average	(607) 547-3456	Rural	135596796	188	Bassett Medical Center	(607) 547-3456		joseph.ruffino@bassett.org	donation	wondered where warehouse/ventilators were
MVHS - St. Elizabeth Campus	Oneida County, NY	Utica	NY	49	201	1618	Acute Care Hospitals	2209 Genesee St	Same as the national average	(315) 798-8100	Rural	150532245	189	MVHS - St. Elizabeth Campus	(315) 798-8100	315-801-4978		donation	had me leave a voicemail for a person but didn't give me specific contact info. I left a message saying call back to give contact info to organization
The University of Vermont Health Network Champlain Valley Physicians Hospital	Clinton County, NY	Plattsburgh	NY	21	354	2031	Acute Care Hospitals	75 Beekman St	Same as the national average	(518) 562-7767	Rural	141338471	190	The University of Vermont Health Network Champlain Valley Physicians Hospital	(518) 562-7767				did not pick up (no mailbox for voicemails)
Phelps Memorial Hospital Center	Westchester County, NY	Sleepy Hollow	NY	12	220	1502	Acute Care Hospitals	701 N Broadway	Same as the national average	(914) 366-3000	Urban	131725076	191	Phelps Memorial Hospital Center	(914) 366-3000	914-366-3500		donation	
Mercy Hospital of Buffalo	Erie County, NY	Buffalo	NY	28	470	2349	Acute Care Hospitals	565 Abbott Rd	Below the national average	(716) 826-7000	Urban	160756336	192	Mercy Hospital of Buffalo	(716) 826-7000	716-706-2112 (maybe)		donation	not a working number (maybe wrong number) - Online "giving" number for hospital was 7167062112
Roswell Park Cancer Institute	Erie County, NY	Buffalo	NY	16	133	3199	NA	Elm And Carlton St	NA	NA	Urban	161552370	193	Roswell Park Cancer Institute	NA	716-845-4444		donation	
UHS Binghamton General Hospital	Broome County, NY	Binghamton	NY	37	474	4020	Acute Care Hospitals	10-42 Mitchell Ave	Below the national average	(607) 763-6000	Urban	161165049	194	UHS Binghamton General Hospital	(607) 763-6000			donation	had me give my phone # and said they would call me back, but didn't give their info
Adventist Health Hanford	Kings County, CA	Hanford	CA	22	230	1339	Acute Care Hospitals	115 Mall Dr	Same as the national average	(209) 410-7200	Urban	940535360	195	Adventist Health Hanford	(209) 410-7200	209-410-7218		donation	Thelma is person who handles supplies and inventory
BronxCare Dr. Martin Luther King, Jr. Health Center	Bronx County, NY	Bronx	NY	31	564	4044	Acute Care Hospitals	1650 Grand Concourse	Same as the national average	(212) 588-7000	Urban	131974191	196	BronxCare Dr. Martin Luther King, Jr. Health Center	(212) 588-7000				WRONG NUMBER (operator said it was phone # for "China Citic Bank International New York branch)
Jamaica Hospital Medical Center	Queens County, NY	Jamaica	NY	19	594	3095	Acute Care Hospitals	8900 Van Wyck Expwy	Same as the national average	(718) 262-6000	Rural	111631788	197	Jamaica Hospital Medical Center	(718) 262-6000				did not pick up (no mailbox for voicemails)
New York Community Hospital	Kings County, NY	Brooklyn	NY	7	134	596	Acute Care Hospitals	2525 Kings Hwy	Above the national average	(718) 692-5302	Urban	111986351	198	New York Community Hospital	(718) 692-5302				did not pick up but I left a message saying to call back
Richmond University Medical Center	Richmond County, NY	Staten Island	NY	18	300	2070	Acute Care Hospitals	355 Bard Ave	Same as the national average	(718) 818-1234	Urban	743177454	199	Richmond University Medical Center	(718) 818-1234				did not pick up but I left a message saying to call back (3404 extension)
NewYork-Presbyterian  Queens Hospital	Queens County, NY	Flushing	NY	29	492	3795	Acute Care Hospitals	5645 Main St	Above the national average	(718) 670-2000	Rural	111839362	200	NewYork-Presbyterian  Queens Hospital	(718) 670-2000	718-670-1499	jkk9001@nyp.org	donation	phone # is for Jacky Cahill
The Brooklyn Hospital Center	Kings County, NY	Brooklyn	NY	12	282	2299	Acute Care Hospitals	121 Dekalb Ave	Same as the national average	(718) 250-8000	Urban	111630755	201	The Brooklyn Hospital Center	(718) 250-8000	718-909-3120		donation	Mr. Leni Singleton is person's name
Montefiore Hospital- Moses Campus	Bronx County, NY	Bronx	NY	54	1529	18142	Acute Care Hospitals	111 E 210th St	Above the national average	(718) 920-4321	Rural	131740114	202	Montefiore Hospital- Moses Campus	(718) 920-4321	718-920-6315	mzimmerman@montefiore.org	donation	
NYC Health + Hospitals Lincoln	Bronx County, NY	Bronx	NY	38	347	3166	Acute Care Hospitals	234 E 149th St Rm 2a1	Same as the national average	(718) 579-5000	Urban	132655001	203	NYC Health + Hospitals Lincoln	(718) 579-5000	718-579-5777 or 718-579-5937	renelda.walker@nychhc.org	donation	2nd number is for Renelda Walker
Arnot Ogden Medical Center	Chemung County, NY	Elmira	NY	20	225	2123	Acute Care Hospitals	600 Roe Ave	Same as the national average	(607) 737-4100	Urban	160743905	204	Arnot Ogden Medical Center	(607) 737-4100	607-737-7004 number for foundation found online		donation	Left a message for Arnot Ogden Medical Foundation
NYC Health + Hospitals Jacobi	Bronx County, NY	Bronx	NY	32	439	3145	Acute Care Hospitals	1400 Pelham Pkwy S	Same as the national average	(718) 918-5000	Urban	132655001	205	NYC Health + Hospitals Jacobi	(718) 918-5000				Left a message for Jacobi Hospital
NYC Health + Hospitals Elmhurst	Queens County, NY	Elmhurst	NY	20	500	3001	Acute Care Hospitals	7901 Broadway	Same as the national average	(718) 334-1141	Urban	132655001	206	NYC Health + Hospitals Elmhurst	(718) 334-1141	718-334-5175		donation	
Staten Island University Hospital	Richmond County, NY	Staten Island	NY	58	627	5817	Acute Care Hospitals	475 Seaview Ave	Above the national average	(418) 226-9761	Urban	112868878	207	Staten Island University Hospital	(718) 226-9761				Left a message (no answer)
Maimonides Medical Center	Kings County, NY	Brooklyn	NY	18	711	5622	Acute Care Hospitals	4802 10th Ave	Above the national average	(718) 283-6000	Urban	111635081	208	Maimonides Medical Center	(718) 283-6000		covid-resources@maimonidiesmed.org	donation	
NYC Health + Hospitals Coney Island	Kings County, NY	Brooklyn	NY	22	371	2383	Acute Care Hospitals	2601 Ocean Pkwy	Same as the national average	(718) 616-3000	Urban	132655001	209	NYC Health + Hospitals Coney Island	(718) 616-3000		paikn@nychhc.org	donation	
Kingsbrook Jewish Medical Center	Kings County, NY	Brooklyn	NY	10	746	1529	Acute Care Hospitals	585 Schenectady Ave	Same as the national average	(718) 604-5789	Urban	111631759	210	Kingsbrook Jewish Medical Center	(718) 604-5789	718-604-5479		donation	Found online for foundation (on phone didn't give info)
NYC Health + Hospitals Kings County	Kings County, NY	Brooklyn	NY	39	634	3232	Acute Care Hospitals	451 Clarkson Ave	Same as the national average	(718) 245-3901	Urban	132655001	211	NYC Health + Hospitals Kings County	(718) 245-3901		kevin.ho@nychhc.org	donation	
Wyckoff Heights Medical Center	Kings County, NY	Brooklyn	NY	16	257	1768	Acute Care Hospitals	374 Stockholm St	Same as the national average	(718) 963-7272	Urban	111631837	212	Wyckoff Heights Medical Center	(718) 963-7272	718-963-1826		donation	Mr. Estrada is name for phone #
NYC Health + Hospitals Queens	Queens County, NY	Jamaica	NY	16	253	1942	Acute Care Hospitals	8268 164th St	Same as the national average	(718) 883-3000	Urban	132655001	213	NYC Health + Hospitals Queens	(718) 883-3000				
The Brookdale University Hospital and Medical Center	Kings County, NY	Brooklyn	NY	29	797	3311	Acute Care Hospitals	1 Brookdale Plz	Same as the national average	(718) 240-5966	Urban	111631746	214	The Brookdale University Hospital and Medical Center	(718) 240-5966		dsullivan@vhmcny.org	donation	
NewYork-Presbyterian Brooklyn Methodist Hospital	Kings County, NY	Brooklyn	NY	38	591	3875	Acute Care Hospitals	506 6th St	Above the national average	(718) 780-3000	Urban	111631796	215	NewYork-Presbyterian Brooklyn Methodist Hospital	(718) 780-3000		masks@nyp.org	donation	
NYU Langone Hospital - Brooklyn	Kings County, NY	Brooklyn	NY	8	388	4221	NA	150 55th St	NA	NA	Urban	111839567	216	NYU Langone Hospital - Brooklyn	(718) 630-7000	516-663-8900		donation	
University Hospital of Brooklyn	Kings County, NY	Brooklyn	NY	24	323	2589	Acute Care Hospitals	445 Lenox Rd	Same as the national average	(718) 270-1000	Urban	146013200	217	University Hospital of Brooklyn	(718) 270-1000	(718) 270-4418		donation	
Long Island Jewish Forest Hills Hospital	Queens County, NY	Forest Hills	NY	18	227	1424	NA	102-66th Road	NA	NA	Urban	112163522	218	Long Island Jewish Forest Hills Hospital	(718) 830-4000		jmartino@northwell.edu	donation	Joeseph Martino
NYC Health + Hospitals North Central Bronx	Bronx County, NY	Bronx	NY	20	200	1031	Acute Care Hospitals	3424 Kossuth Ave	Not Available	(212) 519-5000	Urban	132655001	219	NYC Health + Hospitals North Central Bronx	(212) 519-5000				Wrong number (did not ring)
