,state,public_health,phone_number
850,IA,Decatur County Public Health and Home Care,16414466518
851,IA,Delaware County Public  Health,15639277551
852,IA,Des Moines County Public Health,13197538215
853,IA,Dickinson County / Lakes Regional Healthcare,17123362682
854,IA,Dubuque County Health Department,15635577396
855,IA,Emmet County Public Health,17123622490
856,IA,Floyd County Public Health/Home Health Care,16412576111
857,IA,Floyd Valley Community Health Service ,17125463335
858,IA,Franklin County Public Health Nursing Service,16414565820
859,IA,Fremont County Public Health/Southwest Iowa Home Health Services,17123742685
860,IA,Greene County Medical Center Public Health,15153863228
861,IA,Grundy County Public Health,13198246312
862,IA,Guthrie County Public Health Nursing Service,16417473972
863,IA,Hamilton County Public Health,15158329565
864,IA,Hancock County Public Health Services,16419233676
865,IA,Harrison County Public Health,17126442220
866,IA,Henry County Public Health/Health Center,13193856724
867,IA,Howard County / Regional Health Service of Howard County,15635472989
868,IA,Ida County / Horn Memorial Hospital Community Health Services,17123647311
869,IA,Iowa County Health Department,13197416422
870,IA,Jackson County Regional Health Center,15636524048
871,IA,Jefferson County Public Health,16414725929
872,IA,Johnson County Public Health,13193566040
873,IA,Jones County / Community Health of Jones County,13193697990
874,IA,Keokuk County Public Health,16416223575
875,IA,Kossuth County Regional Health Center/Community Health,15152954430
876,IA,Lee County Health Department,13193725225
877,IA,Linn County Public Health Department,13198926000
878,IA,Louisa County Public Health,13195233981
879,IA,Lucas County Public Health Nursing Service,16417744312
880,IA,Lyon County Health Services,17124728200
881,IA,Madison County Public Health,15154629051
882,IA,Mahaska County Partnership Community Health,16416733257
883,IA,Marion County Public Health Department,16418282238
884,IA,Mills County Public Health Department,17125279699
885,IA,Mitchell County Home Health Care,16418323500
886,IA,Monona County Public Health ,17124331773
887,IA,Monroe County Public Health,16419327191
888,IA,Montgomery County Public Health Nursing Service,17126234893
889,IA,Muscatine County/Unity Health Care,15632639134
890,IA,O'Brien County Public Health,17129570105
891,IA,Osceola County Health Service,17127544611
892,IA,Page County Public Health Service,17128501211
893,IA,Palo Alto County Community Health Service,17128525512
894,IA,Pocahontas County Nursing and Health Service,17133354142
895,IA,Polk County Health Department,15152863759
896,IA,Pottawattamie County Public Health,17123283990
897,IA,Ringgold County Public Health Nursing Agency,16414640691
898,IA,Sac County Public Health Nursing,17126624785
899,IA,Scott County Health Department,15633268618
900,IA,Shelby County/Myrtue Memorial Hospital Home and Public Health,17127554308
901,IA,Sioux County/Community Health Partners,17127372971
902,IA,Tama County Public Health and Home Care,16414844788
903,IA,Taylor County Public Health Agency,17125233405
904,IA,Trinity Muscatine Public Health,15632630122
905,IA,Van Buren County Public Health Nursing Service,13192933431
906,IA,Wapello County Public Health,16416825434
907,IA,Warren County Health Services,15159611074
908,IA,Washington County Public Health and Home Care,13196537758
909,IA,Wayne County Public Health,16418721167
910,IA,Webster County Public Health Agency,15155734107
911,IA,Winnebago County Public Health Nursing Service,16415854763
912,IA,Winneshiek County Public Health Nursing Service,15633824662
913,IA,Woodbury County/Siouxland District Health Department,17122796119
914,IA,Worth County Public Health,16413241741
915,IA,Wright County Public Health Nursing Service/Hospice for Wright County,15155323461
916,KS,Allen SEK Multi-County Health Department,16203652191
917,KS,Anderson SEK-Multi County Health Department,17854486559
918,KS,Barber County Health Department,16208863294
919,KS,Barton County Health Department,16207931902
920,KS,Bourbon SEK-Multi County Health Department,16202234464
921,KS,Brown NEK Multi-County Health Department,17857427192
922,KS,Butler County Health Department,13163213400
923,KS,Chase County Health Department,16202736377
924,KS,Chautauqua Health Department,16207255850
925,KS,Cherokee County Health Department,16204293087
926,KS,Cheyenne County Health Department,17853322381
927,KS,City-Cowley County Health Department,16202211430
928,KS,Clark County Health Department,16206352624
929,KS,Clay County Health Department,17856323193
930,KS,Cloud County Health Department,17852438140
931,KS,Coffey County Health Department,162036486311258
932,KS,Comanche County Health Department,16205822431
933,KS,Crawford County Health Department,16202315411
934,KS,Decatur Health Department,17854758118
935,KS,Dickinson County Health Department,17852634179
936,KS,Doniphan County Health Department,17859853591
937,KS,Edwards County Health Department,16206593102
938,KS,Elk County Health Department,16203742277
939,KS,Ellis County Health Department,17856289440
940,KS,Ellsworth County Health Department,17854724488
941,KS,Finney County Health Department,16202723600
942,KS,Flint Hills Community Health Center,16203424864
943,KS,Ford County Health Department,16202274545
944,KS,Franklin County Health Department,17852293530
945,KS,Geary County Health Department,17857625788
946,KS,Gove County Health Department,17859382335
947,KS,Graham County Health Department,17854213326
948,KS,Grant County Health Department,16203561545
949,KS,Gray County Health Department,16208552424
950,KS,Greeley County Health Department,16203764256
951,KS,Greenwood County Health Department,16205836632
952,KS,Hamilton County Health Department,16203847875
953,KS,Harper County Health Department and Home Health Agency,16208425132
954,KS,Harvey County Health Department,13162831637
955,KS,Haskell County Health Department,16206758191
956,KS,Hodgeman County Health Department,16203578736
957,KS,Jackson NEK-Multi County Health Department,17853642670
958,KS,Jefferson County Health Department,17854030025
959,KS,Jewell County Health Department,17853784060
960,KS,Johnson County Department of Health & Environment,19138261200
961,KS,Kearny County Health Department,16203556342
962,KS,Kingman County Health Department,16205323722
963,KS,Kiowa County Health Department,16207232136
964,KS,Labette County Health Department,16204214350
965,KS,Lane County Health Department,16203972809
966,KS,Lawrence-Douglas County Health Department,17858433060
967,KS,Leavenworth County Health Department,19132502000
968,KS,Lincoln County Health Department,17855244406
969,KS,Linn County Health Department,19133526640
970,KS,Logan County Health Department,17856714502
971,KS,Marion County Health Department,16203822550
972,KS,Marshall County Health Department,17855623485
973,KS,McPherson County Health Department,16202411753
974,KS,Meade County Health Department,16208738745
975,KS,Miami County Health Department,19132942431
976,KS,Mitchell County Health Department,17857385175
977,KS,Montgomery County Health Department,16202514210
978,KS,Morris County Health Department,16207675175
979,KS,Morton County Health Department,16206972612
980,KS,Nemaha County Community Health Services,17852842288
981,KS,Neosho County Health Department,16204315770
982,KS,Ness County Health Department,17857983388
983,KS,Norton County Health Department,17858775745
984,KS,Osage County Health Department,17858283117
985,KS,Osborne County Health Department,17853462412
986,KS,Ottawa County Health Department/Hospice,17853922822
987,KS,Pawnee County Health Department,16202856963
988,KS,Phillips County Health Department,17855436850
989,KS,Pottawatomie County Health Department,17854573719
990,KS,Pratt County Health Department,16206724135
991,KS,Rawlins County Health Department,17856263968
992,KS,Reno County Health Department,16206942900
993,KS,Republic County Health Department,17855275671
994,KS,Rice County Health Department,16202572171
995,KS,Riley County-Manhattan Health Department,17857764779243
996,KS,Rooks County Health Department,17854257352
997,KS,Rush County Health Department,17852223427
998,KS,Russell County Health Department,17854836433
999,KS,Salina-Saline County Health Department,17858266600
1000,KS,Scott County Health Department,16208725774
1001,KS,Sedgwick County Health Department,13166607444
1002,KS,Seward County Health Department,16206263309
1003,KS,Shawnee County Health Department,17852515610
1004,KS,Sheridan County Public Health Department,17856752101
1005,KS,Sherman County Health Department,17858994888
1006,KS,Smith County Health Department,17852826656
1007,KS,Stafford County Health Department,16205493504
1008,KS,Stanton County Health Department,16204926443
1009,KS,Stevens County Health Department,16205447177
1010,KS,Sumner County Health Department,16203262774
1011,KS,Sumner County Planning-Zoning-Environmental Health,16203262207
1012,KS,Thomas County Health Department,17854604596
1013,KS,Trego County Health Department,17857436348
1014,KS,Unified Government of Wyandotte County Public Health Department,19135736736
1015,KS,Wabaunsee County Health Department,17857652425
1016,KS,Wallace County Health Department,17858524272
1017,KS,Washington County Health Department,17853252600
1018,KS,West Central Public Health Initiative,17856720099
1019,KS,Wichita County Health Department,16203752289
1020,KS,Wilson County Health Department,16203784455
1021,KS,Woodson SEK-Multi County Health Department,16206252484
1022,KY,Allen County Health Department,12702374423
1023,KY,Anderson County Health Department,15028394551
1024,KY,Ashland-Boyd County Health Department,16063299444
1025,KY,Barren County Health Department,12706518321
1026,KY,Barren River District Health Department,12707818039
1027,KY,Bell County Health Department,16063377046
1028,KY,Bourbon County Health Department,18599876242
1029,KY,Bowling Green - Warren County Health Department,12707812490
1030,KY,Boyle County Health Department,18592362053
1031,KY,Bracken County Health Department,16067352157
1032,KY,Breathitt County Health Department,16066665274
1033,KY,Breckinridge County Health Department,12707565121
1034,KY,Breckinridge County Home Health,12707565461
1035,KY,Buffalo Trace District Health Department,16065649447
1036,KY,Bullitt County Health Department,15025432415
1037,KY,Butler County Health Department,12705263221
1038,KY,Caldwell County Health Department,12703656571
1039,KY,Calloway County Health Department,12707533381
1040,KY,Campbell County Health Center,18594311704
1041,KY,Carter County Health Department,16064745100
1042,KY,Christian County Health Department,12708874160
1043,KY,Clark County Health Department,18597444482
1044,KY,Crittenden County Health Department,12709655215
1045,KY,Cumberland Valley District Health Department,16065985564
1046,KY,Edmonson County Health Department,12705972194
1047,KY,Estill County Health Department,16067235181
1048,KY,Fleming County Health Department,16068456511
1049,KY,Floyd County Health Department,16068862788
1050,KY,Franklin County Health Department,15025644269
1051,KY,Garrard County Health Department,18597922153
1052,KY,Gateway District Health Department,16066746396
1053,KY,Graves County Health Department,12702473553
1054,KY,Grayson County Health Department,12702593141
1055,KY,Green River District Health Department,12706867747
1056,KY,Greenup County Health Department,16064739838
1057,KY,Hart County Health Department,12705242511
1058,KY,Hopkins County Health Department,12708215242
1059,KY,Jessamine County Health Department,18598854149
1060,KY,Johnson County Health Department,16067892590
1061,KY,Kenton Health Center,18594313345
1062,KY,Kentucky River District Health Department,16064392361
1063,KY,Knox County Health Department,16065463486
1064,KY,Lake Cumberland District Health Department,16066784761
1065,KY,Laurel County Health Department,16068645187
1066,KY,Lawrence County Health Department,16066384389
1067,KY,Lee County Health Center,16064642492
1068,KY,Lewis County Health Department,16067962632
1069,KY,Lexington-Fayette County Health Department,18592522371
1070,KY,"44 Health WayStanford, KY 40484",16063653106
1071,KY,Lincoln Trail District Health Department,12707691601
1072,KY,Little Sandy District Health Department,16064744115
1073,KY,Livingston County Health Department,12709282193
1074,KY,Logan County Health Department,12707268341
1075,KY,Louisville Metro Department of Public Health and Wellness,15025746530
1076,KY,Lyon County Health Department,12703889763
1077,KY,Madison County Health Department,18596264241
1078,KY,Marshall County Health Department,12705271496
1079,KY,Martin County Health Department,16062987752
1080,KY,Meade County Health Department,12704223988
1081,KY,Mercer County Health Department,18597344522
1082,KY,Metcalfe County Health Department,12704323214
1083,KY,Monroe County Health Department,12704876782
1084,KY,Montgomery County Health Department,18594983808
1085,KY,Muhlenberg County Health Department,12707543200
1086,KY,North Central District Health Department,15026331243
1087,KY,Northern Kentucky Independent District Health Department,18593414151
1088,KY,Oldham County Health Department,15022223516
1089,KY,Pennyrile District Health Department,12703889747
1090,KY,Perry County Health Center,16064362196
1091,KY,Pike County Health Department,16064375500
1092,KY,Powell County Health Department,16066634360
1093,KY,Purchase District Health Department,12704449625
1094,KY,Simpson County Health Department,12705868261
1095,KY,Three Rivers District Health Department,15024843412
1096,KY,Todd County Health Department,12702652362
1097,KY,Trigg County Health Department,12705228121
1098,KY,Wedco District Health Department,18592348750
1099,KY,Whitley County Health Department,16065493380
1100,KY,Woodford County Health Department,18598734541119
1101,LA,Acadia Parish Health Unit,13377887507
1102,LA,Allen Parish Health Unit,13376394186
1103,LA,Ascension Parish Health Unit,12254742004
1104,LA,Assumption Parish Health Unit,19853696031
1105,LA,Avoyelles Parish Health Unit,13182534528
1106,LA,Beauregard Parish Health Unit,13374634486
1107,LA,Bienville Parish Health Unit,13182632125
1108,LA,Bossier Parish Health Unit,13187417314
1109,LA,Caddo Parish Health Unit,13186765222
1110,LA,Calcasieu Parish Health Unit,13374786020
1111,LA,Caldwell Parish Health Unit,13186492393
1112,LA,Cameron Parish Health Unit,13377755368
1113,LA,Catahoula Parish Health Unit,13183398352
1114,LA,City of New Orleans Department of Health,15046582500
1115,LA,Claiborne Parish Health Unit,13189276127
1116,LA,Concordia Parish Health Unit,13187578632
1117,LA,Desoto Parish Health Unit,13188720472
1118,LA,East Baton Rouge Parish Health Unit,12252424928
1119,LA,East Carroll Parish Health Unit,13185592012
1120,LA,East Feliciana Parish Health Unit,12256838551
1121,LA,Evangeline Parish Health Unit,13373631135
1122,LA,Franklin Parish Health Unit,13184352143
1123,LA,Grant Parish Health Unit,13186273133
1124,LA,Iberia Parish Health Unit,13373730021
1125,LA,Iberville Parish Health Unit,12256879021
1126,LA,Jackson Parish Health Unit,13182596601
1127,LA,Jefferson Davis Parish Health Unit,13378242193
1128,LA,Jefferson Parish Health Unit,15048385100
1129,LA,Lafayette Parish Health Unit,13372625616
1130,LA,Lafourche Parish Health Unit,19854470921
1131,LA,Lasalle Parish Health Unit,13189924842
1132,LA,Lincoln Parish Health Unit,13182514120
1133,LA,Livingston Parish Health Unit,12256867017
1134,LA,Madison Parish Health Unit,13185743311
1135,LA,Morehouse Parish Health Unit,13182830806
1136,LA,Natchitoches Parish Health Unit,13183573132
1137,LA,Ouachita Parish Health Unit,13183617281
1138,LA,Plaquemines Parish Health Department,15043943510
1139,LA,Pointe Coupee Parish Health Unit,12256387320
1140,LA,Rapides Parish Health Unit,131848752827
1141,LA,Red River Parish Health Unit,13189324087
1142,LA,Region 3 (Office of Public Health),19854470916332
1143,LA,Region 6 Office of Public Health - (Central Regional Office),13184875262
1144,LA,Richland Parish Health Unit,13187284441
1145,LA,Sabine Parish Health Unit,13182564105
1146,LA,St. Bernard Parish Health Unit,15042787410
1147,LA,St. Charles Parish Community Health Center,19857855800
1148,LA,St. Helena Parish Health Unit,12252226178
1149,LA,"29170 Health Unit StVacherie, LA 70090-4221",12252652181
1150,LA,St. John Parish Health Unit,19855362172
1151,LA,St. Landry Parish Health Unit,13379480220
1152,LA,St. Martin Parish Health Unit,13373943097
1153,LA,St. Mary Parish Health Unit,19853802441
1154,LA,St. Tammany Parish Health Unit,19858936296
1155,LA,Tangipahoa Parish Health Unit,19857482020
1156,LA,Tensas Parish Health Unit,13187663515
1157,LA,Terrebonne Parish Health Unit,19858573601
1158,LA,Union Parish Health Unit,13183683156
1159,LA,Vermilion Parish Health Unit,13378931443
1160,LA,Vernon Parish Health Unit,13372386410
1161,LA,Washington Parish Health Unit,19858395646
1162,LA,Webster Parish Health Unit,13183713044
1163,LA,West Baton Rouge Parish Health Unit,12253427525
1164,LA,West Carroll Parish Health Unit,13184289361
1165,LA,West Feliciana Parish Health Unit,12256353644
1166,LA,Winn Parish Health Unit,13186282148
1167,ME,Bangor City Health Department,12079924550
1168,ME,City of Portland Public Health Division,12077568054
1169,ME,Cumberland District Public Health/MCDC,12074850541
1170,ME,Downeast District Public Health,12072552017
1171,ME,Midcoast District Public Health \ MCDC,12075964278
1172,ME,Penquis District Public Health Unit,12075614421
1173,ME,Western District Public Health\MCDC,12077954302
1174,ME,York District Public Health\MCDC,12074904625
1175,MD,Allegany County Health Department,13017595012
1176,MD,Anne Arundel County Department of Health,14102227376
1177,MD,Baltimore City Health Department,14103964387
1178,MD,Baltimore County Department of Health,14108872243
1179,MD,Calvert County Health Department,14105355400306
1180,MD,Caroline County Health Department,14104798030
1181,MD,Carroll County Health Department,14108764972
1182,MD,Cecil County Health Department,14432453885
1183,MD,Charles County Health Department,13016096901
1184,MD,Dorchester County Health Department,14109018124
1185,MD,Frederick County Health Department,13016003104
1186,MD,Garrett County Health Department,13013347715
1187,MD,Harford County Health Department,14108771025
1188,MD,Howard County Health Department,14103136363
1189,MD,Kent County Health Department,14107781350
1190,MD,Montgomery County Department of Health and Human Services,12407771603
1191,MD,Prince George's County Health Department,13018837844
1192,MD,Queen Anne's County Health Department,141075807204406
1193,MD,Somerset County Health Department,14435231700
1194,MD,St. Mary's County Health Department,13014754317
1195,MD,Talbot County Health Department,14108195608
1196,MD,Washington County Health Department,12403133260
1197,MD,Wicomico County Health Department,14108604592
1198,MD,Worcester County Health Department,141063211001209
1199,MA,Abington Board of Health,17819822119
1200,MA,Acton Health Department,19789296632
1201,MA,Acushnet Health Department,15089980275
1202,MA,Adams Board of Health,14137438330
1203,MA,Agawam Health Department,14137860400207
1204,MA,Alford Board of Health,14135284536
1205,MA,Amesbury Health Department,19783888133
1206,MA,Amherst Health Department,14132593077
1207,MA,Andover Health Division,19784906671
1208,MA,Aquinnah Board of Health,15086452307
1209,MA,Arlington Board of Health,17813163170
1210,MA,Ashburn Board of Health,19788274100117
1211,MA,Ashby Board of Health,1978386242419
1212,MA,Ashland Board of Health,1508881010061
1213,MA,Athol Board of Health,19782497934
1214,MA,Attleboro Health Department,150822322223242
1215,MA,Auburn Health Department,15088327703
1216,MA,Avon Board of Health,15085880414
1217,MA,Ayer Board of Health,19787728213
1218,MA,Barnstable County Health/Environmental Department,15083756613
1219,MA,Barnstable Town Health Department,15088624644
1220,MA,Barre Board of Health/Health Department,19783555002
1221,MA,Becket Board of Health,1413623893422
1222,MA,Bedford Board of Health,17812756507
1223,MA,Bellingham Board of Health,15086572860
1224,MA,Belmont Health Department,16179932720
1225,MA,Beltchertown Board of Health,14133230406
1226,MA,Berkley Health Department,15088227828
1227,MA,Berlin Board of Health,19788380214
1228,MA,Bernardston Board of Health ,14136485237
1229,MA,Billerica Health Department,19786710931
1230,MA,Blackstone Board of Health,15088831500
1231,MA,Blandford Board of Health,14136482782
1232,MA,Bolton Board of Health,19787792297
1233,MA,Boston Public Health Commission,16175345395
1234,MA,Bourne Health Department,15087590615
1235,MA,Boxborough Board of Health,19782631116115
1236,MA,Boxford Health Department,19788876000172
1237,MA,Boylston Board of Health,15088696828
1238,MA,Braintree Board of Health,17817948090
1239,MA,Brewster Health Department,15088963701120
1240,MA,Bridgewater Board of Health,15086970903
1241,MA,Brimfield Health Department,17742304266
1242,MA,Brockton Health Department,15085807175
1243,MA,Brookfield Health Department,1508867293022
1244,MA,Brookline Department of Public Health,16177302300
1245,MA,Buckland Health Department,14136256330
1246,MA,Burlington Board of Health,17812701955
1247,MA,Cambridge Public Health Department,16176653810
1248,MA,Canton Board of Health,17818215021
1249,MA,Carlisle Health Department,19783690283
1250,MA,Carver Health Department,15088663420
1251,MA,Charlemont Board of Health,14133394891
1252,MA,Charlton Board of Health,15082482210
1253,MA,Chatham Board of Health,15089455165
1254,MA,Chelmsford Board of Health,19782505241
1255,MA,Chelsea Department of Health and Human Services,16174664090
1256,MA,Cheshire Board of Health,141374316907
1257,MA,Chester Health Department,14133547712
1258,MA,Chesterfield Board of Health,14132964771
1259,MA,Chicopee Health Department,14135941665
1260,MA,Chilmark Board of Health,15086452105
1261,MA,City of Beverly Health Department,19789218591
1262,MA,City of Lowell Health Department,19786741050
1263,MA,"City of Worcester, Division of Public Health",15087998531
1264,MA,Clarksburg Board of Health,14136637940
1265,MA,Clinton Board of Health,19783654116
1266,MA,Cohasset Board of Health,17813834116
1267,MA,Colrain Board of Health,14136243454
1268,MA,Concord Board of Health,19783183275
1269,MA,Conway Board of Health,14133694235
1270,MA,Cummington Health Department,14136345757
1271,MA,Dalton Health Department,1413684611120
1272,MA,Danvers Board of Health,197877700013022
1273,MA,Dartmouth Board of Health,15089101804
1274,MA,Dedham Board of Health,17817519220
1275,MA,Deerfield Health Department,14136651400110
1276,MA,Dighton Health Department,15086695182
1277,MA,Douglas Board of Health,15084764000
1278,MA,Dover Board of Health,15087850032
1279,MA,Dracut Health Department,19784538162
1280,MA,Dudley Board of Health,15089498017
1281,MA,Dunstable Board of Health,19786494514229
1282,MA,Duxbury Board of Health,17819341100
1283,MA,East Bridgewater Board of Health,15083781612
1284,MA,East Brookfield Health Department,15088676769307
1285,MA,East Longmeadow Health Department,141352554001105
1286,MA,Eastern Franklin County Health District,14135493710
1287,MA,Eastham Board of Health,15082405907229
1288,MA,Easthampton Health Department,14135291430
1289,MA,Easton Board of Health,15082300620
1290,MA,Edgartown Board of Health,15086276120
1291,MA,Egremont Health Department,1413528018222
1292,MA,Erving Board of Health,14134222800
1293,MA,Essex Board of Health,19787687614
1294,MA,Everett Health Department,16173942255
1295,MA,Fairhaven Board of Health,15089794022
1296,MA,Fall River Health Department,15083242410
1297,MA,Falmouth Health Department,15084957485
1298,MA,Fitchburg Health Department,15087998482
1299,MA,Florida Health Department,14136646685
1300,MA,Foothills Health District,14132688404
1301,MA,Foxborough Health Department,15085431207
1302,MA,Framingham Health Department,15085325470
1303,MA,Franklin Board of Health,15085204905
1304,MA,Freetown Health Department,15086442202
1305,MA,Gardner Health Department/Board of Health,19786304013
1306,MA,Georgetown Board of Health,19783525720
1307,MA,Gill Board of Health,14138639347
1308,MA,Gloucester Health Department,19782819771
1309,MA,Goshen Board of Health,14132688236110
1310,MA,Gosnold Health Department,15089907408
1311,MA,Grafton Board Health Department,150883953351119
1312,MA,Granby Board of Health,14134679886
1313,MA,Granville Health Department,14133578585
1314,MA,Great Barrington Health Department,14135280680
1315,MA,Greenfield Health Department,141377214042100
1316,MA,Groton Township Board of Health,19784481120
1317,MA,Groveland Health Department,19785567200
1318,MA,Hadley Board of Health,14135867274
1319,MA,Halifax Board of Health,17812936768
1320,MA,Hamilton Health Department,19784685579
1321,MA,Hampden Health Department,14135662152
1322,MA,Hancock Health Department,14137385326
1323,MA,Hanover Board of Health,17818264611
1324,MA,Hanson Health Department/Board of Health,17812933138
1325,MA,Hardwick Board of Health,14134776702108
1326,MA,Harvard Township Board of Health,19784564106
1327,MA,Harwich Health Department,15084307509
1328,MA,Hatfield Health Department,14132479211
1329,MA,Haverhill Health and Inspectional Services,19783742325
1330,MA,Hawley Board of Health,14133395518
1331,MA,Heath Health Department,14133374934
1332,MA,Hingham Health Department,17817411466
1333,MA,Hinsdale Board of Health,14136552311
1334,MA,Holbrook Board of Health,17817673030
1335,MA,Holden Board of Health,15082105542
1336,MA,Holland Board of Health,14132457108112
1337,MA,Holliston Board of Health,15084290605
1338,MA,Holyoke Health Department,14133225595
1339,MA,Hopedale Board of Health,15086342202222
1340,MA,Hopkinton Health Department,15084979725
1341,MA,Hubbardston Health Department,19789281404
1342,MA,Hudson Board of Health,19785622020
1343,MA,Hull Board of Health,17819252000
1344,MA,Huntington Health Department,14136673511
1345,MA,Ipswich Board of Health,197835666064
1346,MA,Kingston Health Department,17815850503
1347,MA,Lakeville Board of Health,15089463473
1348,MA,Lancaster Board of Health,19783684000
1349,MA,Lanesborough Health Department,1413442116728
1350,MA,Lawrence Health Department,19786203260
1351,MA,Leicester Health Department,15088927008
1352,MA,Leominster Health Department,19785347533249
1353,MA,Leverett Health Department,141354810222
1354,MA,Lexington Board of Health,17816984503237
1355,MA,Leyden Board of Health,14137744111
1356,MA,Lincoln Health Department,17812562613
1357,MA,Littleton Township Board of Health,19789522313
1358,MA,Longmeadow Board of Health,14135654140
1359,MA,Ludlow Board of Health,141358356001271
1360,MA,Lunenburg Board of Health,19785824135
1361,MA,Lynn Health Department,178159840006828
1362,MA,Lynnfield Board of Health,17813349480
1363,MA,Malden Board of Health,17813977043
1364,MA,Manchester-by-the-Sea Board of Health,19785267385
1365,MA,Mansfield Board of Health,15082617366
1366,MA,Marblehead Health Department,17816310212
1367,MA,Marion Township Health Department,15087483530
1368,MA,Marlborough Health Department,15084603751
1369,MA,Marshfield Health Department,17818345558
1370,MA,Mashpee Health Department,15085391426555
1371,MA,Massachusetts Department of Public Health,16179836800
1372,MA,Mattapoisett Health Department,150875841008
1373,MA,Maynard Board of Health,19788971002
1374,MA,Medfield Board of Health,15083598505604
1375,MA,Medford Department of Public Health,17813932560
1376,MA,Medway Board of Health,15085333206
1377,MA,Melrose Health Department,17819794130
1378,MA,Mendon Board of Health,15086342656
1379,MA,Merrimac Board of Health,19783464066
1380,MA,Methuen Health Department,19789838655
1381,MA,Middleborough Health Department,15089462408
1382,MA,Middlefield Health Department,14136238966
1383,MA,Middleton Board of Health,19787741869
1384,MA,Milford Board of Health,15086342315
1385,MA,Millbury Health Department,15088654721
1386,MA,Millis Board of Health,15083767042
1387,MA,Millville Board of Health,15088835041
1388,MA,Milton Health Department,16178984886
1389,MA,Monroe Board of Health,14134245272
1390,MA,Monson Board of Health,14132674107
1391,MA,Montague Health Department,14138633200205
1392,MA,Monterey Board of Health,14132435540
1393,MA,Montgomery Health Department,14138623386
1394,MA,Mount Washington Health Department,14135282839
1395,MA,Nahant Board of Health,17815810088
1396,MA,Nantucket Health Department,15083257587x7020
1397,MA,Nashoba Associated Boards of Health,19787723335
1398,MA,Natick Board of Health,15086476460
1399,MA,Needham Health Department,17814557500
1400,MA,New Ashford Health Department,14134585485
1401,MA,New Bedford Health Department,15089916199
1402,MA,New Braintree Health Department,15088672071
1403,MA,New Marlborough Board of Health,14132298469
1404,MA,New Salem Health Department,19785449673
1405,MA,Newbury Board of Health,19784650862316
1406,MA,Newburyport Health Department,19784654410
1407,MA,Newton Health Department,16177961420
1408,MA,Norfolk Health Department,15085287747
1409,MA,North Adams Health Department,14136623020
1410,MA,North Andover Board of Health,19786889540
1411,MA,North Attleboro Health Department,15086990103
1412,MA,North Brookfield Health Department,15088670201
1413,MA,North Reading Board of Health,19783575242
1414,MA,Northampton Board of Health,14135871214
1415,MA,Northborough Health Department,15083935009
1416,MA,Northbridge Health Department,15082343272
1417,MA,Northfield Board of Health,1413498290117
1418,MA,Norton Health Department,15082850263
1419,MA,Norwell Health Department,17816598016
1420,MA,Norwood Board of Health,17817621240
1421,MA,Oak Bluffs Board of Health,15086933554
1422,MA,Oakham Board of Health,15088825549320
1423,MA,Orange Board of Health,19785441107
1424,MA,Orleans Health Department,15082403700450
1425,MA,Otis Health Department,14132690101
1426,MA,Oxford Board of Health,15089876045
1427,MA,Palmer Health Department,14132832606
1428,MA,Paxton Health Department,15087532803
1429,MA,Pelham Board of Health,14132537129
1430,MA,Pembroke Board of Health,17812932718
1431,MA,Pepperell Health Department,19784330328
1432,MA,Peru Health Department,17136558312
1433,MA,Petersham Health Department,19787240057
1434,MA,Phillipston Board of Health,19782491735
1435,MA,Pittsfield Health Department,14134999411
1436,MA,Plainfield Board of Health,14136340321
1437,MA,Plainville Health Department,1508695301016
1438,MA,Plymouth Health Department,15087471620119
1439,MA,Plympton Board of Health,17815857000
1440,MA,Princeton Health Department,19784642100
1441,MA,Quabbin Health District,14139679615
1442,MA,Quincy Health Department,16173761272
1443,MA,Randolph Health Department,17819610924
1444,MA,Raynham Health Department,15088242766
1445,MA,Reading Health Department,17819426653
1446,MA,Rehoboth Health Department,15082523099
1447,MA,Revere Health Department,17812868176
1448,MA,Richmond Health Department,14136983355
1449,MA,Rochester Township Board of Health,15087635421
1450,MA,Rockland Board of Health,15087635421
1451,MA,Rockport Health Department,19785463701
1452,MA,Rowe Board of Health,1413339552016
1453,MA,Rowley Health Department,19789482231
1454,MA,Royalston Board Health Department,19782493617
1455,MA,Russell Health Department,14138624791
1456,MA,Rutland Board of Health,15088864102
1457,MA,Salem Board of Health,19787411800
1458,MA,Salisbury Health Department,19784623430
1459,MA,Sandisfield Health Department,14132584712
1460,MA,Sandwich Health Department,15088884200
1461,MA,Saugus Health Department,17812314115
1462,MA,Savoy Health Department,14137434290
1463,MA,Scituate Health Department,17815458725
1464,MA,Seekonk Health Department,15083362950
1465,MA,Sharon Health Department,178178415001206
1466,MA,Sheffield Health Department,14132292335157
1467,MA,Shelburne Board of Health,14136250300
1468,MA,Sherborn Health Department,15086517852
1469,MA,Shirley Township Board of Health,19784252600260
1470,MA,Shrewsbury Health Department,15088418512
1471,MA,Shutesbury Board of Health,14132592122
1472,MA,Somerset Board of Health,15086462804
1473,MA,Somerville Health and Human Services Department,161762566004310
1474,MA,South Hadley Health Department,14135385013
1475,MA,Southampton Health Department,14135291003
1476,MA,Southborough Health Department,15084813013
1477,MA,Southbridge Health Department,15087645412
1478,MA,Southwick Board of Health,14135691212
1479,MA,Spencer Board of Health,15088857541
1480,MA,Springfield Department of Health and Human Services,14137876456
1481,MA,Sterling Board of Health,197842281112305
1482,MA,Stockbridge Board of Health,14132435540
1483,MA,Stoneham Health Department,17812792621
