"countyname","fipscounty","neighborname","fipsneighbor"
"Kossuth County, IA","19109","Winnebago County, IA","19189"
"Kossuth County, IA","19109","Wright County, IA","19197"
"Kossuth County, IA","19109","Faribault County, MN","27043"
"Kossuth County, IA","19109","Martin County, MN","27091"
"Lee County, IA","19111","Hancock County, IL","17067"
"Lee County, IA","19111","Henderson County, IL","17071"
"Lee County, IA","19111","Des Moines County, IA","19057"
"Lee County, IA","19111","Henry County, IA","19087"
"Lee County, IA","19111","Lee County, IA","19111"
"Lee County, IA","19111","Van Buren County, IA","19177"
"Lee County, IA","19111","Clark County, MO","29045"
"Linn County, IA","19113","Benton County, IA","19011"
"Linn County, IA","19113","Buchanan County, IA","19019"
"Linn County, IA","19113","Cedar County, IA","19031"
"Linn County, IA","19113","Delaware County, IA","19055"
"Linn County, IA","19113","Iowa County, IA","19095"
"Linn County, IA","19113","Johnson County, IA","19103"
"Linn County, IA","19113","Jones County, IA","19105"
"Linn County, IA","19113","Linn County, IA","19113"
"Louisa County, IA","19115","Mercer County, IL","17131"
"Louisa County, IA","19115","Rock Island County, IL","17161"
"Louisa County, IA","19115","Des Moines County, IA","19057"
"Louisa County, IA","19115","Henry County, IA","19087"
"Louisa County, IA","19115","Johnson County, IA","19103"
"Louisa County, IA","19115","Louisa County, IA","19115"
"Louisa County, IA","19115","Muscatine County, IA","19139"
"Louisa County, IA","19115","Washington County, IA","19183"
"Lucas County, IA","19117","Appanoose County, IA","19007"
"Lucas County, IA","19117","Clarke County, IA","19039"
"Lucas County, IA","19117","Decatur County, IA","19053"
"Lucas County, IA","19117","Lucas County, IA","19117"
"Lucas County, IA","19117","Marion County, IA","19125"
"Lucas County, IA","19117","Monroe County, IA","19135"
"Lucas County, IA","19117","Warren County, IA","19181"
"Lucas County, IA","19117","Wayne County, IA","19185"
"Lyon County, IA","19119","Lyon County, IA","19119"
"Lyon County, IA","19119","O'Brien County, IA","19141"
"Lyon County, IA","19119","Osceola County, IA","19143"
"Lyon County, IA","19119","Sioux County, IA","19167"
"Lyon County, IA","19119","Nobles County, MN","27105"
"Lyon County, IA","19119","Rock County, MN","27133"
"Lyon County, IA","19119","Lincoln County, SD","46083"
"Lyon County, IA","19119","Minnehaha County, SD","46099"
"Madison County, IA","19121","Adair County, IA","19001"
"Madison County, IA","19121","Clarke County, IA","19039"
"Madison County, IA","19121","Dallas County, IA","19049"
"Madison County, IA","19121","Guthrie County, IA","19077"
"Madison County, IA","19121","Madison County, IA","19121"
"Madison County, IA","19121","Polk County, IA","19153"
"Madison County, IA","19121","Union County, IA","19175"
"Madison County, IA","19121","Warren County, IA","19181"
"Mahaska County, IA","19123","Jasper County, IA","19099"
"Mahaska County, IA","19123","Keokuk County, IA","19107"
"Mahaska County, IA","19123","Mahaska County, IA","19123"
"Mahaska County, IA","19123","Marion County, IA","19125"
"Mahaska County, IA","19123","Monroe County, IA","19135"
"Mahaska County, IA","19123","Poweshiek County, IA","19157"
"Mahaska County, IA","19123","Wapello County, IA","19179"
"Marion County, IA","19125","Jasper County, IA","19099"
"Marion County, IA","19125","Lucas County, IA","19117"
"Marion County, IA","19125","Mahaska County, IA","19123"
"Marion County, IA","19125","Marion County, IA","19125"
"Marion County, IA","19125","Monroe County, IA","19135"
"Marion County, IA","19125","Polk County, IA","19153"
"Marion County, IA","19125","Warren County, IA","19181"
"Marshall County, IA","19127","Grundy County, IA","19075"
"Marshall County, IA","19127","Hardin County, IA","19083"
"Marshall County, IA","19127","Jasper County, IA","19099"
"Marshall County, IA","19127","Marshall County, IA","19127"
"Marshall County, IA","19127","Poweshiek County, IA","19157"
"Marshall County, IA","19127","Story County, IA","19169"
"Marshall County, IA","19127","Tama County, IA","19171"
"Mills County, IA","19129","Fremont County, IA","19071"
"Mills County, IA","19129","Mills County, IA","19129"
"Mills County, IA","19129","Montgomery County, IA","19137"
"Mills County, IA","19129","Page County, IA","19145"
"Mills County, IA","19129","Pottawattamie County, IA","19155"
"Mills County, IA","19129","Cass County, NE","31025"
"Mills County, IA","19129","Sarpy County, NE","31153"
"Mitchell County, IA","19131","Cerro Gordo County, IA","19033"
"Mitchell County, IA","19131","Chickasaw County, IA","19037"
"Mitchell County, IA","19131","Floyd County, IA","19067"
"Mitchell County, IA","19131","Howard County, IA","19089"
"Mitchell County, IA","19131","Mitchell County, IA","19131"
"Mitchell County, IA","19131","Worth County, IA","19195"
"Mitchell County, IA","19131","Mower County, MN","27099"
"Monona County, IA","19133","Crawford County, IA","19047"
"Monona County, IA","19133","Harrison County, IA","19085"
"Monona County, IA","19133","Ida County, IA","19093"
"Monona County, IA","19133","Monona County, IA","19133"
"Monona County, IA","19133","Woodbury County, IA","19193"
"Monona County, IA","19133","Burt County, NE","31021"
"Monona County, IA","19133","Thurston County, NE","31173"
"Monroe County, IA","19135","Appanoose County, IA","19007"
"Monroe County, IA","19135","Davis County, IA","19051"
"Monroe County, IA","19135","Lucas County, IA","19117"
"Monroe County, IA","19135","Mahaska County, IA","19123"
"Monroe County, IA","19135","Marion County, IA","19125"
"Monroe County, IA","19135","Monroe County, IA","19135"
"Monroe County, IA","19135","Wapello County, IA","19179"
"Monroe County, IA","19135","Wayne County, IA","19185"
"Montgomery County, IA","19137","Adams County, IA","19003"
"Montgomery County, IA","19137","Cass County, IA","19029"
"Montgomery County, IA","19137","Fremont County, IA","19071"
"Montgomery County, IA","19137","Mills County, IA","19129"
"Montgomery County, IA","19137","Montgomery County, IA","19137"
"Montgomery County, IA","19137","Page County, IA","19145"
"Montgomery County, IA","19137","Pottawattamie County, IA","19155"
"Montgomery County, IA","19137","Taylor County, IA","19173"
"Muscatine County, IA","19139","Rock Island County, IL","17161"
"Muscatine County, IA","19139","Cedar County, IA","19031"
"Muscatine County, IA","19139","Johnson County, IA","19103"
"Muscatine County, IA","19139","Louisa County, IA","19115"
"Muscatine County, IA","19139","Muscatine County, IA","19139"
"Muscatine County, IA","19139","Scott County, IA","19163"
"O'Brien County, IA","19141","Buena Vista County, IA","19021"
"O'Brien County, IA","19141","Cherokee County, IA","19035"
"O'Brien County, IA","19141","Clay County, IA","19041"
"O'Brien County, IA","19141","Dickinson County, IA","19059"
"O'Brien County, IA","19141","Lyon County, IA","19119"
"O'Brien County, IA","19141","O'Brien County, IA","19141"
"O'Brien County, IA","19141","Osceola County, IA","19143"
"O'Brien County, IA","19141","Plymouth County, IA","19149"
"O'Brien County, IA","19141","Sioux County, IA","19167"
"Osceola County, IA","19143","Clay County, IA","19041"
"Osceola County, IA","19143","Dickinson County, IA","19059"
"Osceola County, IA","19143","Lyon County, IA","19119"
"Osceola County, IA","19143","O'Brien County, IA","19141"
"Osceola County, IA","19143","Osceola County, IA","19143"
"Osceola County, IA","19143","Sioux County, IA","19167"
"Osceola County, IA","19143","Jackson County, MN","27063"
"Osceola County, IA","19143","Nobles County, MN","27105"
"Page County, IA","19145","Adams County, IA","19003"
"Page County, IA","19145","Fremont County, IA","19071"
"Page County, IA","19145","Mills County, IA","19129"
"Page County, IA","19145","Montgomery County, IA","19137"
"Page County, IA","19145","Page County, IA","19145"
"Page County, IA","19145","Taylor County, IA","19173"
"Page County, IA","19145","Atchison County, MO","29005"
"Page County, IA","19145","Nodaway County, MO","29147"
"Palo Alto County, IA","19147","Buena Vista County, IA","19021"
"Palo Alto County, IA","19147","Clay County, IA","19041"
"Palo Alto County, IA","19147","Dickinson County, IA","19059"
"Palo Alto County, IA","19147","Emmet County, IA","19063"
"Palo Alto County, IA","19147","Humboldt County, IA","19091"
"Palo Alto County, IA","19147","Kossuth County, IA","19109"
"Palo Alto County, IA","19147","Palo Alto County, IA","19147"
"Palo Alto County, IA","19147","Pocahontas County, IA","19151"
"Plymouth County, IA","19149","Cherokee County, IA","19035"
"Plymouth County, IA","19149","O'Brien County, IA","19141"
"Plymouth County, IA","19149","Plymouth County, IA","19149"
"Plymouth County, IA","19149","Sioux County, IA","19167"
"Plymouth County, IA","19149","Woodbury County, IA","19193"
"Plymouth County, IA","19149","Union County, SD","46127"
"Pocahontas County, IA","19151","Buena Vista County, IA","19021"
"Pocahontas County, IA","19151","Calhoun County, IA","19025"
"Pocahontas County, IA","19151","Clay County, IA","19041"
"Pocahontas County, IA","19151","Humboldt County, IA","19091"
"Pocahontas County, IA","19151","Kossuth County, IA","19109"
"Pocahontas County, IA","19151","Palo Alto County, IA","19147"
"Pocahontas County, IA","19151","Pocahontas County, IA","19151"
"Pocahontas County, IA","19151","Sac County, IA","19161"
"Pocahontas County, IA","19151","Webster County, IA","19187"
"Polk County, IA","19153","Boone County, IA","19015"
"Polk County, IA","19153","Dallas County, IA","19049"
"Polk County, IA","19153","Jasper County, IA","19099"
"Polk County, IA","19153","Madison County, IA","19121"
"Polk County, IA","19153","Marion County, IA","19125"
"Polk County, IA","19153","Polk County, IA","19153"
"Polk County, IA","19153","Story County, IA","19169"
"Polk County, IA","19153","Warren County, IA","19181"
"Pottawattamie County, IA","19155","Cass County, IA","19029"
"Pottawattamie County, IA","19155","Harrison County, IA","19085"
"Pottawattamie County, IA","19155","Mills County, IA","19129"
"Pottawattamie County, IA","19155","Montgomery County, IA","19137"
"Pottawattamie County, IA","19155","Pottawattamie County, IA","19155"
"Pottawattamie County, IA","19155","Shelby County, IA","19165"
"Pottawattamie County, IA","19155","Douglas County, NE","31055"
"Pottawattamie County, IA","19155","Sarpy County, NE","31153"
"Pottawattamie County, IA","19155","Washington County, NE","31177"
"Poweshiek County, IA","19157","Benton County, IA","19011"
"Poweshiek County, IA","19157","Iowa County, IA","19095"
"Poweshiek County, IA","19157","Jasper County, IA","19099"
"Poweshiek County, IA","19157","Keokuk County, IA","19107"
"Poweshiek County, IA","19157","Mahaska County, IA","19123"
"Poweshiek County, IA","19157","Marshall County, IA","19127"
"Poweshiek County, IA","19157","Poweshiek County, IA","19157"
"Poweshiek County, IA","19157","Tama County, IA","19171"
"Ringgold County, IA","19159","Adams County, IA","19003"
"Ringgold County, IA","19159","Clarke County, IA","19039"
"Ringgold County, IA","19159","Decatur County, IA","19053"
"Ringgold County, IA","19159","Ringgold County, IA","19159"
"Ringgold County, IA","19159","Taylor County, IA","19173"
"Ringgold County, IA","19159","Union County, IA","19175"
"Ringgold County, IA","19159","Harrison County, MO","29081"
"Ringgold County, IA","19159","Worth County, MO","29227"
"Sac County, IA","19161","Buena Vista County, IA","19021"
"Sac County, IA","19161","Calhoun County, IA","19025"
"Sac County, IA","19161","Carroll County, IA","19027"
"Sac County, IA","19161","Cherokee County, IA","19035"
"Sac County, IA","19161","Crawford County, IA","19047"
"Sac County, IA","19161","Ida County, IA","19093"
"Sac County, IA","19161","Pocahontas County, IA","19151"
"Sac County, IA","19161","Sac County, IA","19161"
"Scott County, IA","19163","Rock Island County, IL","17161"
"Scott County, IA","19163","Cedar County, IA","19031"
"Scott County, IA","19163","Clinton County, IA","19045"
"Scott County, IA","19163","Muscatine County, IA","19139"
"Scott County, IA","19163","Scott County, IA","19163"
"Shelby County, IA","19165","Audubon County, IA","19009"
"Shelby County, IA","19165","Carroll County, IA","19027"
"Shelby County, IA","19165","Cass County, IA","19029"
"Shelby County, IA","19165","Crawford County, IA","19047"
"Shelby County, IA","19165","Harrison County, IA","19085"
"Shelby County, IA","19165","Pottawattamie County, IA","19155"
"Shelby County, IA","19165","Shelby County, IA","19165"
"Sioux County, IA","19167","Cherokee County, IA","19035"
"Sioux County, IA","19167","Lyon County, IA","19119"
"Sioux County, IA","19167","O'Brien County, IA","19141"
"Sioux County, IA","19167","Osceola County, IA","19143"
"Sioux County, IA","19167","Plymouth County, IA","19149"
"Sioux County, IA","19167","Sioux County, IA","19167"
"Sioux County, IA","19167","Lincoln County, SD","46083"
"Sioux County, IA","19167","Union County, SD","46127"
"Story County, IA","19169","Boone County, IA","19015"
"Story County, IA","19169","Hamilton County, IA","19079"
"Story County, IA","19169","Hardin County, IA","19083"
"Story County, IA","19169","Jasper County, IA","19099"
"Story County, IA","19169","Marshall County, IA","19127"
"Story County, IA","19169","Polk County, IA","19153"
"Story County, IA","19169","Story County, IA","19169"
"Tama County, IA","19171","Benton County, IA","19011"
"Tama County, IA","19171","Black Hawk County, IA","19013"
"Tama County, IA","19171","Grundy County, IA","19075"
"Tama County, IA","19171","Iowa County, IA","19095"
"Tama County, IA","19171","Jasper County, IA","19099"
"Tama County, IA","19171","Marshall County, IA","19127"
"Tama County, IA","19171","Poweshiek County, IA","19157"
"Tama County, IA","19171","Tama County, IA","19171"
"Taylor County, IA","19173","Adams County, IA","19003"
"Taylor County, IA","19173","Montgomery County, IA","19137"
"Taylor County, IA","19173","Page County, IA","19145"
"Taylor County, IA","19173","Ringgold County, IA","19159"
"Taylor County, IA","19173","Taylor County, IA","19173"
"Taylor County, IA","19173","Union County, IA","19175"
"Taylor County, IA","19173","Nodaway County, MO","29147"
"Taylor County, IA","19173","Worth County, MO","29227"
"Union County, IA","19175","Adair County, IA","19001"
"Union County, IA","19175","Adams County, IA","19003"
"Union County, IA","19175","Clarke County, IA","19039"
"Union County, IA","19175","Decatur County, IA","19053"
"Union County, IA","19175","Madison County, IA","19121"
"Union County, IA","19175","Ringgold County, IA","19159"
"Union County, IA","19175","Taylor County, IA","19173"
"Union County, IA","19175","Union County, IA","19175"
"Van Buren County, IA","19177","Davis County, IA","19051"
"Van Buren County, IA","19177","Henry County, IA","19087"
"Van Buren County, IA","19177","Jefferson County, IA","19101"
"Van Buren County, IA","19177","Lee County, IA","19111"
"Van Buren County, IA","19177","Van Buren County, IA","19177"
"Van Buren County, IA","19177","Wapello County, IA","19179"
"Van Buren County, IA","19177","Clark County, MO","29045"
"Van Buren County, IA","19177","Scotland County, MO","29199"
"Wapello County, IA","19179","Appanoose County, IA","19007"
"Wapello County, IA","19179","Davis County, IA","19051"
"Wapello County, IA","19179","Jefferson County, IA","19101"
"Wapello County, IA","19179","Keokuk County, IA","19107"
"Wapello County, IA","19179","Mahaska County, IA","19123"
"Wapello County, IA","19179","Monroe County, IA","19135"
"Wapello County, IA","19179","Van Buren County, IA","19177"
"Wapello County, IA","19179","Wapello County, IA","19179"
"Warren County, IA","19181","Clarke County, IA","19039"
"Warren County, IA","19181","Dallas County, IA","19049"
"Warren County, IA","19181","Lucas County, IA","19117"
"Warren County, IA","19181","Madison County, IA","19121"
"Warren County, IA","19181","Marion County, IA","19125"
"Warren County, IA","19181","Polk County, IA","19153"
"Warren County, IA","19181","Warren County, IA","19181"
"Washington County, IA","19183","Henry County, IA","19087"
"Washington County, IA","19183","Iowa County, IA","19095"
"Washington County, IA","19183","Jefferson County, IA","19101"
"Washington County, IA","19183","Johnson County, IA","19103"
"Washington County, IA","19183","Keokuk County, IA","19107"
"Washington County, IA","19183","Louisa County, IA","19115"
"Washington County, IA","19183","Washington County, IA","19183"
"Wayne County, IA","19185","Appanoose County, IA","19007"
"Wayne County, IA","19185","Clarke County, IA","19039"
"Wayne County, IA","19185","Decatur County, IA","19053"
"Wayne County, IA","19185","Lucas County, IA","19117"
"Wayne County, IA","19185","Monroe County, IA","19135"
"Wayne County, IA","19185","Wayne County, IA","19185"
"Wayne County, IA","19185","Mercer County, MO","29129"
"Wayne County, IA","19185","Putnam County, MO","29171"
"Webster County, IA","19187","Boone County, IA","19015"
"Webster County, IA","19187","Calhoun County, IA","19025"
"Webster County, IA","19187","Greene County, IA","19073"
"Webster County, IA","19187","Hamilton County, IA","19079"
"Webster County, IA","19187","Humboldt County, IA","19091"
"Webster County, IA","19187","Pocahontas County, IA","19151"
"Webster County, IA","19187","Webster County, IA","19187"
"Webster County, IA","19187","Wright County, IA","19197"
"Winnebago County, IA","19189","Cerro Gordo County, IA","19033"
"Winnebago County, IA","19189","Hancock County, IA","19081"
"Winnebago County, IA","19189","Kossuth County, IA","19109"
"Winnebago County, IA","19189","Winnebago County, IA","19189"
"Winnebago County, IA","19189","Worth County, IA","19195"
"Winnebago County, IA","19189","Faribault County, MN","27043"
"Winnebago County, IA","19189","Freeborn County, MN","27047"
"Winneshiek County, IA","19191","Allamakee County, IA","19005"
"Winneshiek County, IA","19191","Chickasaw County, IA","19037"
"Winneshiek County, IA","19191","Clayton County, IA","19043"
"Winneshiek County, IA","19191","Fayette County, IA","19065"
"Winneshiek County, IA","19191","Howard County, IA","19089"
"Winneshiek County, IA","19191","Winneshiek County, IA","19191"
"Winneshiek County, IA","19191","Fillmore County, MN","27045"
"Winneshiek County, IA","19191","Houston County, MN","27055"
"Woodbury County, IA","19193","Cherokee County, IA","19035"
"Woodbury County, IA","19193","Crawford County, IA","19047"
"Woodbury County, IA","19193","Ida County, IA","19093"
"Woodbury County, IA","19193","Monona County, IA","19133"
"Woodbury County, IA","19193","Plymouth County, IA","19149"
"Woodbury County, IA","19193","Woodbury County, IA","19193"
"Woodbury County, IA","19193","Dakota County, NE","31043"
"Woodbury County, IA","19193","Thurston County, NE","31173"
"Woodbury County, IA","19193","Union County, SD","46127"
"Worth County, IA","19195","Cerro Gordo County, IA","19033"
"Worth County, IA","19195","Hancock County, IA","19081"
"Worth County, IA","19195","Mitchell County, IA","19131"
"Worth County, IA","19195","Winnebago County, IA","19189"
"Worth County, IA","19195","Worth County, IA","19195"
"Worth County, IA","19195","Freeborn County, MN","27047"
"Worth County, IA","19195","Mower County, MN","27099"
"Wright County, IA","19197","Cerro Gordo County, IA","19033"
"Wright County, IA","19197","Franklin County, IA","19069"
"Wright County, IA","19197","Hamilton County, IA","19079"
"Wright County, IA","19197","Hancock County, IA","19081"
"Wright County, IA","19197","Hardin County, IA","19083"
"Wright County, IA","19197","Humboldt County, IA","19091"
"Wright County, IA","19197","Kossuth County, IA","19109"
"Wright County, IA","19197","Webster County, IA","19187"
"Wright County, IA","19197","Wright County, IA","19197"
"Allen County, KS","20001","Allen County, KS","20001"
"Allen County, KS","20001","Anderson County, KS","20003"
"Allen County, KS","20001","Bourbon County, KS","20011"
"Allen County, KS","20001","Coffey County, KS","20031"
"Allen County, KS","20001","Linn County, KS","20107"
"Allen County, KS","20001","Neosho County, KS","20133"
"Allen County, KS","20001","Wilson County, KS","20205"
"Allen County, KS","20001","Woodson County, KS","20207"
"Anderson County, KS","20003","Allen County, KS","20001"
"Anderson County, KS","20003","Anderson County, KS","20003"
"Anderson County, KS","20003","Bourbon County, KS","20011"
"Anderson County, KS","20003","Coffey County, KS","20031"
"Anderson County, KS","20003","Franklin County, KS","20059"
"Anderson County, KS","20003","Linn County, KS","20107"
"Anderson County, KS","20003","Miami County, KS","20121"
"Anderson County, KS","20003","Woodson County, KS","20207"
"Atchison County, KS","20005","Atchison County, KS","20005"
"Atchison County, KS","20005","Brown County, KS","20013"
"Atchison County, KS","20005","Doniphan County, KS","20043"
"Atchison County, KS","20005","Jackson County, KS","20085"
"Atchison County, KS","20005","Jefferson County, KS","20087"
"Atchison County, KS","20005","Leavenworth County, KS","20103"
"Atchison County, KS","20005","Buchanan County, MO","29021"
"Atchison County, KS","20005","Platte County, MO","29165"
"Barber County, KS","20007","Barber County, KS","20007"
"Barber County, KS","20007","Comanche County, KS","20033"
"Barber County, KS","20007","Harper County, KS","20077"
"Barber County, KS","20007","Kingman County, KS","20095"
"Barber County, KS","20007","Kiowa County, KS","20097"
"Barber County, KS","20007","Pratt County, KS","20151"
"Barber County, KS","20007","Alfalfa County, OK","40003"
"Barber County, KS","20007","Woods County, OK","40151"
"Barton County, KS","20009","Barton County, KS","20009"
"Barton County, KS","20009","Ellsworth County, KS","20053"
"Barton County, KS","20009","Pawnee County, KS","20145"
"Barton County, KS","20009","Rice County, KS","20159"
"Barton County, KS","20009","Rush County, KS","20165"
"Barton County, KS","20009","Russell County, KS","20167"
"Barton County, KS","20009","Stafford County, KS","20185"
"Bourbon County, KS","20011","Allen County, KS","20001"
"Bourbon County, KS","20011","Anderson County, KS","20003"
"Bourbon County, KS","20011","Bourbon County, KS","20011"
"Bourbon County, KS","20011","Crawford County, KS","20037"
"Bourbon County, KS","20011","Linn County, KS","20107"
"Bourbon County, KS","20011","Neosho County, KS","20133"
"Bourbon County, KS","20011","Vernon County, MO","29217"
"Brown County, KS","20013","Atchison County, KS","20005"
"Brown County, KS","20013","Brown County, KS","20013"
"Brown County, KS","20013","Doniphan County, KS","20043"
"Brown County, KS","20013","Jackson County, KS","20085"
"Brown County, KS","20013","Nemaha County, KS","20131"
"Brown County, KS","20013","Richardson County, NE","31147"
"Butler County, KS","20015","Butler County, KS","20015"
"Butler County, KS","20015","Chase County, KS","20017"
"Butler County, KS","20015","Cowley County, KS","20035"
"Butler County, KS","20015","Elk County, KS","20049"
"Butler County, KS","20015","Greenwood County, KS","20073"
"Butler County, KS","20015","Harvey County, KS","20079"
"Butler County, KS","20015","Marion County, KS","20115"
"Butler County, KS","20015","Sedgwick County, KS","20173"
"Butler County, KS","20015","Sumner County, KS","20191"
"Chase County, KS","20017","Butler County, KS","20015"
"Chase County, KS","20017","Chase County, KS","20017"
"Chase County, KS","20017","Greenwood County, KS","20073"
"Chase County, KS","20017","Lyon County, KS","20111"
"Chase County, KS","20017","Marion County, KS","20115"
"Chase County, KS","20017","Morris County, KS","20127"
"Chautauqua County, KS","20019","Chautauqua County, KS","20019"
"Chautauqua County, KS","20019","Cowley County, KS","20035"
"Chautauqua County, KS","20019","Elk County, KS","20049"
"Chautauqua County, KS","20019","Montgomery County, KS","20125"
"Chautauqua County, KS","20019","Osage County, OK","40113"
"Chautauqua County, KS","20019","Washington County, OK","40147"
"Cherokee County, KS","20021","Cherokee County, KS","20021"
"Cherokee County, KS","20021","Crawford County, KS","20037"
"Cherokee County, KS","20021","Labette County, KS","20099"
"Cherokee County, KS","20021","Jasper County, MO","29097"
"Cherokee County, KS","20021","Newton County, MO","29145"
"Cherokee County, KS","20021","Craig County, OK","40035"
"Cherokee County, KS","20021","Ottawa County, OK","40115"
"Cheyenne County, KS","20023","Kit Carson County, CO","08063"
"Cheyenne County, KS","20023","Yuma County, CO","08125"
"Cheyenne County, KS","20023","Cheyenne County, KS","20023"
"Cheyenne County, KS","20023","Rawlins County, KS","20153"
"Cheyenne County, KS","20023","Sherman County, KS","20181"
"Cheyenne County, KS","20023","Dundy County, NE","31057"
"Clark County, KS","20025","Clark County, KS","20025"
"Clark County, KS","20025","Comanche County, KS","20033"
"Clark County, KS","20025","Ford County, KS","20057"
"Clark County, KS","20025","Kiowa County, KS","20097"
"Clark County, KS","20025","Meade County, KS","20119"
"Clark County, KS","20025","Beaver County, OK","40007"
"Clark County, KS","20025","Harper County, OK","40059"
"Clay County, KS","20027","Clay County, KS","20027"
"Clay County, KS","20027","Cloud County, KS","20029"
"Clay County, KS","20027","Dickinson County, KS","20041"
"Clay County, KS","20027","Geary County, KS","20061"
"Clay County, KS","20027","Ottawa County, KS","20143"
"Clay County, KS","20027","Riley County, KS","20161"
"Clay County, KS","20027","Washington County, KS","20201"
"Cloud County, KS","20029","Clay County, KS","20027"
"Cloud County, KS","20029","Cloud County, KS","20029"
"Cloud County, KS","20029","Jewell County, KS","20089"
"Cloud County, KS","20029","Mitchell County, KS","20123"
"Cloud County, KS","20029","Ottawa County, KS","20143"
"Cloud County, KS","20029","Republic County, KS","20157"
"Cloud County, KS","20029","Washington County, KS","20201"
"Coffey County, KS","20031","Allen County, KS","20001"
"Coffey County, KS","20031","Anderson County, KS","20003"
"Coffey County, KS","20031","Coffey County, KS","20031"
"Coffey County, KS","20031","Franklin County, KS","20059"
"Coffey County, KS","20031","Greenwood County, KS","20073"
"Coffey County, KS","20031","Lyon County, KS","20111"
"Coffey County, KS","20031","Osage County, KS","20139"
"Coffey County, KS","20031","Woodson County, KS","20207"
"Comanche County, KS","20033","Barber County, KS","20007"
"Comanche County, KS","20033","Clark County, KS","20025"
"Comanche County, KS","20033","Comanche County, KS","20033"
"Comanche County, KS","20033","Kiowa County, KS","20097"
"Comanche County, KS","20033","Harper County, OK","40059"
"Comanche County, KS","20033","Woods County, OK","40151"
"Cowley County, KS","20035","Butler County, KS","20015"
"Cowley County, KS","20035","Chautauqua County, KS","20019"
"Cowley County, KS","20035","Cowley County, KS","20035"
"Cowley County, KS","20035","Elk County, KS","20049"
"Cowley County, KS","20035","Sedgwick County, KS","20173"
"Cowley County, KS","20035","Sumner County, KS","20191"
"Cowley County, KS","20035","Kay County, OK","40071"
"Cowley County, KS","20035","Osage County, OK","40113"
"Crawford County, KS","20037","Bourbon County, KS","20011"
"Crawford County, KS","20037","Cherokee County, KS","20021"
"Crawford County, KS","20037","Crawford County, KS","20037"
"Crawford County, KS","20037","Labette County, KS","20099"
"Crawford County, KS","20037","Neosho County, KS","20133"
"Crawford County, KS","20037","Barton County, MO","29011"
"Crawford County, KS","20037","Jasper County, MO","29097"
"Crawford County, KS","20037","Vernon County, MO","29217"
"Decatur County, KS","20039","Decatur County, KS","20039"
"Decatur County, KS","20039","Norton County, KS","20137"
"Decatur County, KS","20039","Rawlins County, KS","20153"
"Decatur County, KS","20039","Sheridan County, KS","20179"
"Decatur County, KS","20039","Thomas County, KS","20193"
"Decatur County, KS","20039","Furnas County, NE","31065"
"Decatur County, KS","20039","Red Willow County, NE","31145"
"Dickinson County, KS","20041","Clay County, KS","20027"
"Dickinson County, KS","20041","Dickinson County, KS","20041"
"Dickinson County, KS","20041","Geary County, KS","20061"
"Dickinson County, KS","20041","McPherson County, KS","20113"
"Dickinson County, KS","20041","Marion County, KS","20115"
"Dickinson County, KS","20041","Morris County, KS","20127"
"Dickinson County, KS","20041","Ottawa County, KS","20143"
"Dickinson County, KS","20041","Saline County, KS","20169"
"Doniphan County, KS","20043","Atchison County, KS","20005"
"Doniphan County, KS","20043","Brown County, KS","20013"
"Doniphan County, KS","20043","Doniphan County, KS","20043"
"Doniphan County, KS","20043","Andrew County, MO","29003"
"Doniphan County, KS","20043","Buchanan County, MO","29021"
"Doniphan County, KS","20043","Holt County, MO","29087"
"Doniphan County, KS","20043","Richardson County, NE","31147"
"Douglas County, KS","20045","Douglas County, KS","20045"
"Douglas County, KS","20045","Franklin County, KS","20059"
"Douglas County, KS","20045","Jefferson County, KS","20087"
"Douglas County, KS","20045","Johnson County, KS","20091"
"Douglas County, KS","20045","Leavenworth County, KS","20103"
"Douglas County, KS","20045","Miami County, KS","20121"
"Douglas County, KS","20045","Osage County, KS","20139"
"Douglas County, KS","20045","Shawnee County, KS","20177"
"Edwards County, KS","20047","Edwards County, KS","20047"
"Edwards County, KS","20047","Ford County, KS","20057"
"Edwards County, KS","20047","Hodgeman County, KS","20083"
"Edwards County, KS","20047","Kiowa County, KS","20097"
"Edwards County, KS","20047","Pawnee County, KS","20145"
"Edwards County, KS","20047","Pratt County, KS","20151"
"Edwards County, KS","20047","Stafford County, KS","20185"
"Elk County, KS","20049","Butler County, KS","20015"
"Elk County, KS","20049","Chautauqua County, KS","20019"
"Elk County, KS","20049","Cowley County, KS","20035"
"Elk County, KS","20049","Elk County, KS","20049"
"Elk County, KS","20049","Greenwood County, KS","20073"
"Elk County, KS","20049","Montgomery County, KS","20125"
"Elk County, KS","20049","Wilson County, KS","20205"
"Ellis County, KS","20051","Ellis County, KS","20051"
"Ellis County, KS","20051","Ness County, KS","20135"
"Ellis County, KS","20051","Osborne County, KS","20141"
"Ellis County, KS","20051","Rooks County, KS","20163"
"Ellis County, KS","20051","Rush County, KS","20165"
"Ellis County, KS","20051","Russell County, KS","20167"
"Ellis County, KS","20051","Trego County, KS","20195"
"Ellsworth County, KS","20053","Barton County, KS","20009"
"Ellsworth County, KS","20053","Ellsworth County, KS","20053"
"Ellsworth County, KS","20053","Lincoln County, KS","20105"
"Ellsworth County, KS","20053","McPherson County, KS","20113"
"Ellsworth County, KS","20053","Rice County, KS","20159"
"Ellsworth County, KS","20053","Russell County, KS","20167"
"Ellsworth County, KS","20053","Saline County, KS","20169"
